order_type,payment_method,Month,day Of Week,Hour,Discount Category,order_id
Delivery,UPI,January,Wednesday,15,Low Discount,109630
Dine-in,UPI,January,Wednesday,15,No Discount,110265
Takeaway,UPI,January,Wednesday,19,Medium Discount,110383
Takeaway,Credit Card,January,Wednesday,19,High Discount,110729
Takeaway,Cash,January,Wednesday,17,No Discount,111862
Dine-in,Cash,January,Wednesday,11,Medium Discount,112519
Takeaway,Wallet,January,Wednesday,15,Low Discount,114369
Dine-in,UPI,January,Wednesday,14,High Discount,114819
Takeaway,Wallet,January,Wednesday,14,Medium Discount,114932
Takeaway,Cash,January,Wednesday,21,High Discount,115016
Delivery,Debit Card,January,Wednesday,17,No Discount,115126
Takeaway,Credit Card,January,Wednesday,10,Medium Discount,115741
Dine-in,Wallet,January,Wednesday,12,Medium Discount,115743
Dine-in,Cash,January,Wednesday,13,No Discount,116518
Dine-in,Debit Card,January,Wednesday,22,No Discount,116578
Dine-in,Debit Card,January,Wednesday,20,Low Discount,117090
Takeaway,Wallet,January,Wednesday,20,High Discount,117247
Takeaway,Cash,January,Wednesday,21,No Discount,117948
Dine-in,Wallet,January,Wednesday,19,High Discount,118062
Delivery,UPI,January,Wednesday,15,No Discount,118282
Delivery,UPI,January,Wednesday,13,Low Discount,118346
Dine-in,Cash,January,Wednesday,11,Low Discount,118568
Delivery,Credit Card,January,Wednesday,20,No Discount,118835
Delivery,Credit Card,January,Wednesday,10,No Discount,119539
Dine-in,Wallet,January,Wednesday,12,No Discount,119543
Dine-in,Debit Card,January,Wednesday,18,No Discount,119728
Delivery,Wallet,January,Wednesday,16,High Discount,120455
Dine-in,UPI,January,Wednesday,20,No Discount,120734
Dine-in,Wallet,January,Wednesday,10,No Discount,120826
Takeaway,Credit Card,January,Wednesday,15,High Discount,121571
Dine-in,Debit Card,January,Wednesday,16,Low Discount,121836
Delivery,Cash,January,Wednesday,10,Low Discount,122061
Takeaway,Cash,January,Wednesday,22,No Discount,122311
Dine-in,Cash,January,Wednesday,18,No Discount,122604
Dine-in,Debit Card,January,Wednesday,10,Medium Discount,122621
Delivery,Wallet,January,Wednesday,13,No Discount,122697
Takeaway,Debit Card,January,Wednesday,10,Medium Discount,123419
Takeaway,Debit Card,January,Wednesday,21,High Discount,123527
Delivery,Credit Card,January,Wednesday,21,No Discount,123978
Takeaway,Cash,January,Wednesday,11,No Discount,124556
Dine-in,Credit Card,January,Wednesday,21,Medium Discount,125092
Dine-in,UPI,January,Wednesday,20,Low Discount,125133
Takeaway,UPI,January,Wednesday,18,High Discount,125430
Delivery,Debit Card,January,Wednesday,14,No Discount,125786
Takeaway,Cash,January,Wednesday,16,Medium Discount,126715
Dine-in,UPI,January,Wednesday,15,Low Discount,127110
Dine-in,Cash,January,Wednesday,13,Medium Discount,127583
Dine-in,UPI,January,Wednesday,21,No Discount,127717
Dine-in,Wallet,January,Wednesday,20,High Discount,128070
Dine-in,Wallet,January,Wednesday,10,Low Discount,128276
Delivery,Wallet,January,Wednesday,19,Low Discount,128756
Delivery,UPI,January,Wednesday,15,High Discount,129189
Takeaway,Wallet,January,Wednesday,17,High Discount,129629
Delivery,Cash,January,Wednesday,21,Low Discount,129775
Takeaway,Debit Card,January,Wednesday,17,No Discount,130156
Delivery,UPI,January,Wednesday,15,Medium Discount,130239
Delivery,Credit Card,January,Wednesday,14,High Discount,130944
Takeaway,Cash,January,Wednesday,22,Low Discount,131561
Takeaway,Cash,January,Wednesday,14,High Discount,131993
Delivery,Credit Card,January,Wednesday,17,Medium Discount,131999
Takeaway,UPI,January,Wednesday,21,No Discount,132597
Dine-in,Wallet,January,Wednesday,18,High Discount,133242
Dine-in,Credit Card,January,Wednesday,22,Medium Discount,133370
Takeaway,Credit Card,January,Wednesday,19,Low Discount,133595
Takeaway,Wallet,January,Wednesday,13,No Discount,133732
Takeaway,Cash,January,Wednesday,13,No Discount,134066
Delivery,Cash,January,Wednesday,22,No Discount,134176
Delivery,UPI,January,Wednesday,12,Low Discount,134391
Delivery,Debit Card,January,Wednesday,13,No Discount,134695
Delivery,UPI,January,Wednesday,22,No Discount,134938
Dine-in,Cash,January,Wednesday,19,High Discount,135086
Delivery,Wallet,January,Wednesday,21,Medium Discount,135143
Dine-in,Credit Card,January,Wednesday,12,High Discount,135225
Delivery,Credit Card,January,Wednesday,13,No Discount,135451
Takeaway,Debit Card,January,Wednesday,14,High Discount,135879
Takeaway,Cash,January,Wednesday,19,Medium Discount,136464
Delivery,UPI,January,Wednesday,11,High Discount,136577
Delivery,Credit Card,January,Wednesday,11,No Discount,136871
Delivery,UPI,January,Wednesday,13,High Discount,136947
Takeaway,Wallet,January,Wednesday,21,No Discount,137608
Takeaway,UPI,January,Wednesday,14,Low Discount,137675
Delivery,Debit Card,January,Wednesday,12,No Discount,138429
Dine-in,UPI,January,Wednesday,16,No Discount,138828
Delivery,Debit Card,January,Wednesday,13,Low Discount,139115
Delivery,Credit Card,January,Wednesday,14,High Discount,139668
Takeaway,Wallet,January,Wednesday,10,No Discount,140006
Dine-in,Wallet,January,Wednesday,19,Low Discount,140007
Takeaway,UPI,January,Wednesday,17,No Discount,140210
Delivery,Credit Card,January,Wednesday,19,No Discount,140992
Takeaway,Wallet,January,Wednesday,16,No Discount,141835
Delivery,Cash,January,Wednesday,10,Low Discount,141965
Takeaway,Credit Card,January,Wednesday,19,High Discount,142102
Delivery,Wallet,January,Wednesday,21,No Discount,142699
Takeaway,UPI,January,Wednesday,18,No Discount,143693
Delivery,Credit Card,January,Wednesday,17,No Discount,144401
Dine-in,Debit Card,January,Wednesday,20,No Discount,144660
Takeaway,UPI,January,Wednesday,10,No Discount,145588
Dine-in,Credit Card,January,Wednesday,17,High Discount,145671
Dine-in,UPI,January,Wednesday,15,No Discount,146123
Dine-in,Credit Card,January,Wednesday,22,No Discount,146170
Dine-in,Wallet,January,Wednesday,21,No Discount,146293
Dine-in,UPI,January,Wednesday,14,No Discount,146963
Dine-in,Cash,January,Wednesday,21,Medium Discount,147238
Dine-in,Wallet,January,Wednesday,17,Medium Discount,147548
Takeaway,Cash,January,Wednesday,12,No Discount,148406
Delivery,UPI,January,Wednesday,20,No Discount,148984
Dine-in,Cash,January,Wednesday,17,No Discount,149429
Takeaway,Credit Card,January,Wednesday,15,No Discount,149542
Takeaway,Debit Card,January,Wednesday,19,High Discount,149585
Takeaway,Cash,January,Wednesday,16,No Discount,149765
Dine-in,Cash,January,Wednesday,18,No Discount,149832
Delivery,Debit Card,February,Saturday,17,No Discount,100055
Takeaway,Wallet,February,Saturday,12,No Discount,100659
Dine-in,Credit Card,February,Saturday,11,Low Discount,101188
Dine-in,UPI,February,Saturday,16,No Discount,101293
Takeaway,Wallet,February,Saturday,16,Medium Discount,101992
Dine-in,Wallet,February,Saturday,15,High Discount,102335
Takeaway,Wallet,February,Saturday,12,Medium Discount,102448
Delivery,Credit Card,February,Saturday,14,No Discount,102876
Delivery,Wallet,February,Saturday,20,Low Discount,104036
Delivery,Cash,February,Saturday,20,Low Discount,104708
Dine-in,Debit Card,February,Saturday,19,High Discount,104889
Delivery,Credit Card,February,Saturday,22,No Discount,105966
Dine-in,UPI,February,Saturday,12,Low Discount,107611
Delivery,Wallet,February,Saturday,16,High Discount,107633
Dine-in,Debit Card,February,Saturday,22,High Discount,108147
Delivery,UPI,February,Saturday,12,High Discount,108364
Dine-in,UPI,February,Saturday,18,Medium Discount,108561
Delivery,UPI,February,Saturday,19,No Discount,109146
Dine-in,UPI,February,Saturday,13,High Discount,109150
Dine-in,UPI,February,Saturday,14,High Discount,109454
Takeaway,Wallet,February,Saturday,12,High Discount,110008
Delivery,Debit Card,February,Saturday,22,High Discount,110395
Delivery,UPI,February,Saturday,10,Low Discount,110700
Delivery,UPI,February,Saturday,21,No Discount,110783
Takeaway,UPI,February,Saturday,17,High Discount,111938
Takeaway,Credit Card,February,Saturday,20,Low Discount,112067
Dine-in,Wallet,February,Saturday,14,No Discount,112561
Dine-in,Debit Card,February,Saturday,10,Low Discount,112731
Dine-in,Cash,February,Saturday,14,Low Discount,112838
Dine-in,Debit Card,February,Saturday,22,No Discount,113445
Takeaway,Debit Card,February,Saturday,17,No Discount,113939
Delivery,Cash,February,Saturday,15,High Discount,115029
Takeaway,Cash,February,Saturday,18,Medium Discount,116027
Dine-in,Wallet,February,Saturday,12,Medium Discount,116226
Delivery,Debit Card,February,Saturday,21,High Discount,116561
Dine-in,Credit Card,February,Saturday,18,No Discount,116799
Delivery,Wallet,February,Saturday,15,Medium Discount,116936
Delivery,Credit Card,February,Saturday,15,High Discount,118233
Takeaway,UPI,February,Saturday,16,No Discount,118837
Takeaway,Credit Card,February,Saturday,21,High Discount,119054
Takeaway,Cash,February,Saturday,16,High Discount,119261
Takeaway,Debit Card,February,Saturday,15,Low Discount,119633
Dine-in,Cash,February,Saturday,16,High Discount,120307
Dine-in,Cash,February,Saturday,11,High Discount,120781
Delivery,Wallet,February,Saturday,16,High Discount,120937
Delivery,Wallet,February,Saturday,14,Low Discount,121880
Delivery,Cash,February,Saturday,16,No Discount,122429
Takeaway,Wallet,February,Saturday,16,Low Discount,122824
Takeaway,Debit Card,February,Saturday,11,High Discount,122898
Dine-in,UPI,February,Saturday,16,Medium Discount,123254
Takeaway,Debit Card,February,Saturday,15,No Discount,123989
Delivery,Cash,February,Saturday,14,No Discount,124077
Dine-in,Debit Card,February,Saturday,13,Medium Discount,124569
Takeaway,Credit Card,February,Saturday,21,No Discount,125315
Takeaway,UPI,February,Saturday,22,No Discount,125824
Takeaway,Cash,February,Saturday,13,No Discount,126217
Delivery,Debit Card,February,Saturday,15,Low Discount,126835
Delivery,UPI,February,Saturday,20,No Discount,127180
Dine-in,Wallet,February,Saturday,11,Low Discount,127484
Takeaway,Credit Card,February,Saturday,18,No Discount,128005
Takeaway,UPI,February,Saturday,22,No Discount,128252
Takeaway,Credit Card,February,Saturday,16,Low Discount,128362
Delivery,Wallet,February,Saturday,17,No Discount,128885
Takeaway,Wallet,February,Saturday,19,Medium Discount,129063
Dine-in,UPI,February,Saturday,12,No Discount,129372
Delivery,UPI,February,Saturday,11,Medium Discount,130033
Dine-in,Credit Card,February,Saturday,19,No Discount,130411
Dine-in,Wallet,February,Saturday,19,Medium Discount,131258
Delivery,Wallet,February,Saturday,22,High Discount,131631
Delivery,UPI,February,Saturday,19,Low Discount,131742
Delivery,UPI,February,Saturday,16,No Discount,132026
Takeaway,Cash,February,Saturday,19,High Discount,132248
Takeaway,Wallet,February,Saturday,17,Low Discount,133124
Delivery,Cash,February,Saturday,22,No Discount,133402
Takeaway,Debit Card,February,Saturday,18,Low Discount,134452
Dine-in,Credit Card,February,Saturday,16,High Discount,134666
Dine-in,Credit Card,February,Saturday,17,High Discount,134676
Takeaway,Wallet,February,Saturday,15,No Discount,134947
Takeaway,Cash,February,Saturday,10,High Discount,135568
Takeaway,Wallet,February,Saturday,17,High Discount,135626
Delivery,Credit Card,February,Saturday,16,Medium Discount,136141
Takeaway,Debit Card,February,Saturday,15,High Discount,137011
Dine-in,Cash,February,Saturday,10,No Discount,137290
Dine-in,UPI,February,Saturday,11,No Discount,137310
Dine-in,Credit Card,February,Saturday,13,No Discount,137377
Takeaway,Credit Card,February,Saturday,22,Medium Discount,137499
Delivery,Wallet,February,Saturday,11,High Discount,137864
Dine-in,Wallet,February,Saturday,11,No Discount,138132
Delivery,Credit Card,February,Saturday,10,No Discount,138154
Delivery,Debit Card,February,Saturday,20,No Discount,138533
Dine-in,Credit Card,February,Saturday,19,No Discount,138778
Dine-in,Cash,February,Saturday,10,No Discount,139161
Dine-in,UPI,February,Saturday,21,High Discount,139240
Dine-in,Debit Card,February,Saturday,12,High Discount,139308
Delivery,Credit Card,February,Saturday,21,Medium Discount,139467
Delivery,Debit Card,February,Saturday,19,No Discount,140091
Takeaway,Credit Card,February,Saturday,10,No Discount,140133
Takeaway,UPI,February,Saturday,16,No Discount,140389
Takeaway,Cash,February,Saturday,20,Medium Discount,140767
Delivery,Cash,February,Saturday,10,High Discount,140947
Takeaway,Credit Card,February,Saturday,21,High Discount,141388
Delivery,Wallet,February,Saturday,16,No Discount,141724
Takeaway,Cash,February,Saturday,12,Low Discount,142973
Delivery,Credit Card,February,Saturday,18,No Discount,143939
Dine-in,UPI,February,Saturday,18,No Discount,144102
Dine-in,Wallet,February,Saturday,18,High Discount,144951
Takeaway,Cash,February,Saturday,20,Low Discount,145147
Dine-in,Cash,February,Saturday,11,High Discount,145291
Takeaway,UPI,February,Saturday,18,Medium Discount,145987
Delivery,UPI,February,Saturday,21,Low Discount,146227
Takeaway,UPI,February,Saturday,11,Medium Discount,146873
Delivery,Cash,February,Saturday,19,High Discount,147909
Dine-in,UPI,February,Saturday,11,Medium Discount,148010
Dine-in,Debit Card,February,Saturday,17,No Discount,148182
Takeaway,UPI,February,Saturday,22,Medium Discount,148269
Delivery,Cash,February,Saturday,14,High Discount,148641
Dine-in,Cash,February,Saturday,22,No Discount,148790
Takeaway,Debit Card,February,Saturday,15,No Discount,149055
Delivery,Debit Card,February,Saturday,16,High Discount,149274
Takeaway,Debit Card,March,Saturday,13,High Discount,100266
Takeaway,Debit Card,March,Saturday,20,High Discount,100328
Takeaway,Cash,March,Saturday,10,No Discount,100799
Delivery,UPI,March,Saturday,17,Low Discount,101445
Dine-in,Credit Card,March,Saturday,17,High Discount,101754
Dine-in,UPI,March,Saturday,18,High Discount,101996
Delivery,Cash,March,Saturday,20,No Discount,102359
Takeaway,Credit Card,March,Saturday,15,Low Discount,102697
Takeaway,Cash,March,Saturday,17,Medium Discount,102740
Takeaway,Credit Card,March,Saturday,11,High Discount,102967
Dine-in,Debit Card,March,Saturday,15,No Discount,102998
Takeaway,Wallet,March,Saturday,13,Medium Discount,103102
Dine-in,Cash,March,Saturday,14,No Discount,104382
Takeaway,Debit Card,March,Saturday,10,Medium Discount,105399
Dine-in,Credit Card,March,Saturday,18,Low Discount,105494
Takeaway,UPI,March,Saturday,21,No Discount,105517
Dine-in,Debit Card,March,Saturday,12,No Discount,106088
Dine-in,Wallet,March,Saturday,12,No Discount,106210
Delivery,Wallet,March,Saturday,21,Medium Discount,106351
Takeaway,UPI,March,Saturday,13,High Discount,106717
Delivery,UPI,March,Saturday,12,No Discount,106777
Dine-in,Credit Card,March,Saturday,22,No Discount,106901
Takeaway,UPI,March,Saturday,10,No Discount,107012
Takeaway,Wallet,March,Saturday,12,Medium Discount,108410
Delivery,UPI,March,Saturday,17,No Discount,108668
Delivery,UPI,March,Saturday,14,No Discount,108992
Takeaway,Cash,March,Saturday,20,No Discount,109023
Dine-in,Credit Card,March,Saturday,20,Medium Discount,109098
Dine-in,UPI,March,Saturday,15,Low Discount,110044
Dine-in,Credit Card,March,Saturday,22,High Discount,110140
Dine-in,Wallet,March,Saturday,13,Medium Discount,110433
Delivery,Cash,March,Saturday,13,High Discount,111306
Delivery,Debit Card,March,Saturday,20,No Discount,111732
Dine-in,Cash,March,Saturday,11,Medium Discount,111979
Delivery,Credit Card,March,Saturday,19,Low Discount,112025
Takeaway,UPI,March,Saturday,13,No Discount,112060
Delivery,Debit Card,March,Saturday,18,No Discount,112118
Delivery,Credit Card,March,Saturday,12,High Discount,112229
Delivery,Cash,March,Saturday,12,High Discount,112396
Dine-in,Credit Card,March,Saturday,19,High Discount,112783
Dine-in,Debit Card,March,Saturday,18,Medium Discount,113026
Delivery,UPI,March,Saturday,15,Low Discount,113336
Delivery,Cash,March,Saturday,10,Low Discount,113776
Dine-in,UPI,March,Saturday,22,Low Discount,113942
Delivery,UPI,March,Saturday,15,Medium Discount,114019
Takeaway,Debit Card,March,Saturday,18,High Discount,114133
Takeaway,UPI,March,Saturday,16,Medium Discount,114430
Delivery,Wallet,March,Saturday,18,Low Discount,114554
Dine-in,Wallet,March,Saturday,17,High Discount,114568
Dine-in,Debit Card,March,Saturday,17,High Discount,114734
Dine-in,UPI,March,Saturday,13,Low Discount,115367
Dine-in,UPI,March,Saturday,19,No Discount,116197
Takeaway,UPI,March,Saturday,12,Low Discount,116568
Takeaway,UPI,March,Saturday,16,No Discount,116626
Delivery,Debit Card,March,Saturday,16,No Discount,116953
Takeaway,Debit Card,March,Saturday,22,High Discount,117573
Delivery,UPI,March,Saturday,14,Medium Discount,117687
Takeaway,Credit Card,March,Saturday,16,Medium Discount,117718
Dine-in,UPI,March,Saturday,15,Medium Discount,117737
Takeaway,Credit Card,March,Saturday,16,No Discount,118046
Takeaway,Debit Card,March,Saturday,22,No Discount,118766
Takeaway,Wallet,March,Saturday,23,No Discount,118853
Delivery,UPI,March,Saturday,20,No Discount,119952
Takeaway,Cash,March,Saturday,12,High Discount,120229
Takeaway,UPI,March,Saturday,20,Medium Discount,121177
Dine-in,Cash,March,Saturday,21,High Discount,122704
Dine-in,UPI,March,Saturday,15,No Discount,122953
Delivery,Wallet,March,Saturday,11,High Discount,123920
Takeaway,UPI,March,Saturday,12,No Discount,123955
Delivery,Wallet,March,Saturday,15,High Discount,124839
Delivery,UPI,March,Saturday,18,No Discount,125266
Takeaway,UPI,March,Saturday,14,High Discount,125324
Takeaway,Wallet,March,Saturday,14,High Discount,125418
Takeaway,Cash,March,Saturday,15,No Discount,125557
Takeaway,Credit Card,March,Saturday,14,No Discount,125866
Takeaway,UPI,March,Saturday,21,High Discount,126074
Takeaway,Cash,March,Saturday,22,No Discount,126418
Dine-in,Debit Card,March,Saturday,18,High Discount,126539
Delivery,Cash,March,Saturday,15,Low Discount,127285
Takeaway,Credit Card,March,Saturday,18,Low Discount,128227
Dine-in,UPI,March,Saturday,19,High Discount,128476
Dine-in,Debit Card,March,Saturday,16,Medium Discount,128942
Dine-in,UPI,March,Saturday,22,Medium Discount,129350
Dine-in,Wallet,March,Saturday,21,No Discount,129701
Delivery,UPI,March,Saturday,15,Low Discount,129741
Dine-in,Wallet,March,Saturday,20,High Discount,129820
Delivery,Debit Card,March,Saturday,18,Medium Discount,129931
Dine-in,Cash,March,Saturday,18,High Discount,130385
Delivery,Wallet,March,Saturday,11,Low Discount,130837
Takeaway,UPI,March,Saturday,20,Medium Discount,131455
Takeaway,Cash,March,Saturday,14,Low Discount,131531
Delivery,UPI,March,Saturday,21,No Discount,131838
Dine-in,UPI,March,Saturday,17,No Discount,132561
Delivery,Wallet,March,Saturday,11,No Discount,132738
Takeaway,Credit Card,March,Saturday,21,High Discount,133118
Delivery,Debit Card,March,Saturday,21,No Discount,133306
Takeaway,Credit Card,March,Saturday,21,High Discount,133307
Takeaway,Debit Card,March,Saturday,11,Low Discount,133472
Dine-in,Credit Card,March,Saturday,19,Medium Discount,133487
Takeaway,UPI,March,Saturday,12,High Discount,133540
Takeaway,Wallet,March,Saturday,17,No Discount,133625
Takeaway,Cash,March,Saturday,19,High Discount,134016
Dine-in,Debit Card,March,Saturday,15,Medium Discount,134799
Dine-in,Wallet,March,Saturday,12,Low Discount,134801
Dine-in,Wallet,March,Saturday,16,High Discount,134854
Delivery,Debit Card,March,Saturday,21,No Discount,135608
Takeaway,Cash,March,Saturday,10,High Discount,135899
Takeaway,Wallet,March,Saturday,22,No Discount,136204
Dine-in,Wallet,March,Saturday,17,No Discount,137095
Delivery,UPI,March,Saturday,17,No Discount,137251
Takeaway,Cash,March,Saturday,14,High Discount,137312
Dine-in,Wallet,March,Saturday,20,No Discount,137437
Dine-in,UPI,March,Saturday,14,No Discount,137491
Takeaway,UPI,March,Saturday,16,Low Discount,137495
Dine-in,Wallet,March,Saturday,11,No Discount,138112
Dine-in,Cash,March,Saturday,13,No Discount,138224
Takeaway,Cash,March,Saturday,11,High Discount,138347
Delivery,Cash,March,Saturday,13,High Discount,138387
Dine-in,Wallet,March,Saturday,10,Low Discount,138798
Delivery,UPI,March,Saturday,14,No Discount,138954
Dine-in,Wallet,March,Saturday,18,Medium Discount,139540
Takeaway,UPI,March,Saturday,21,High Discount,139739
Dine-in,Credit Card,March,Saturday,18,Medium Discount,139802
Delivery,Credit Card,March,Saturday,12,No Discount,139900
Dine-in,Debit Card,March,Saturday,22,High Discount,140089
Delivery,Wallet,March,Saturday,18,No Discount,140107
Takeaway,UPI,March,Saturday,14,Low Discount,140146
Delivery,Cash,March,Saturday,15,Low Discount,140511
Delivery,Wallet,March,Saturday,22,No Discount,141047
Takeaway,Debit Card,March,Saturday,22,Low Discount,141294
Dine-in,Debit Card,March,Saturday,20,Medium Discount,141908
Dine-in,Wallet,March,Saturday,18,Medium Discount,142017
Takeaway,UPI,March,Saturday,10,No Discount,142098
Takeaway,Cash,March,Saturday,14,Medium Discount,142332
Delivery,Cash,March,Saturday,22,No Discount,142476
Delivery,Credit Card,March,Saturday,21,Low Discount,142722
Delivery,UPI,March,Saturday,17,No Discount,142730
Takeaway,Debit Card,March,Saturday,17,No Discount,143241
Takeaway,Cash,March,Saturday,22,High Discount,143521
Dine-in,Debit Card,March,Saturday,22,High Discount,144044
Takeaway,Wallet,March,Saturday,19,No Discount,144332
Delivery,Debit Card,March,Saturday,12,No Discount,144590
Dine-in,Wallet,March,Saturday,11,Low Discount,145275
Dine-in,Wallet,March,Saturday,14,High Discount,145373
Dine-in,Cash,March,Saturday,14,No Discount,145679
Delivery,Wallet,March,Saturday,22,High Discount,145803
Delivery,Cash,March,Saturday,21,No Discount,146404
Delivery,Credit Card,March,Saturday,19,Low Discount,146549
Takeaway,Debit Card,March,Saturday,10,No Discount,146701
Dine-in,UPI,March,Saturday,13,High Discount,147340
Takeaway,UPI,March,Saturday,10,High Discount,147593
Dine-in,Debit Card,March,Saturday,14,No Discount,147870
Dine-in,Credit Card,March,Saturday,12,Low Discount,147980
Delivery,Wallet,March,Saturday,13,No Discount,148214
Dine-in,Wallet,March,Saturday,21,No Discount,148377
Delivery,Wallet,March,Saturday,11,No Discount,148418
Dine-in,Debit Card,March,Saturday,20,No Discount,148542
Dine-in,Credit Card,March,Saturday,18,High Discount,148572
Delivery,Wallet,March,Saturday,22,No Discount,149276
Delivery,Wallet,March,Saturday,10,No Discount,149855
Takeaway,Credit Card,March,Saturday,11,No Discount,149905
Delivery,UPI,April,Tuesday,20,No Discount,100169
Dine-in,Credit Card,April,Tuesday,12,No Discount,100790
Delivery,Cash,April,Tuesday,14,Medium Discount,101154
Dine-in,Wallet,April,Tuesday,11,No Discount,101167
Dine-in,UPI,April,Tuesday,15,Low Discount,101610
Takeaway,Debit Card,April,Tuesday,16,High Discount,103273
Delivery,UPI,April,Tuesday,14,No Discount,103640
Dine-in,UPI,April,Tuesday,10,High Discount,103880
Delivery,Cash,April,Tuesday,17,No Discount,103908
Delivery,Wallet,April,Tuesday,16,High Discount,103987
Delivery,Debit Card,April,Tuesday,19,No Discount,104542
Takeaway,Credit Card,April,Tuesday,10,High Discount,105033
Delivery,Wallet,April,Tuesday,18,No Discount,105486
Dine-in,Credit Card,April,Tuesday,13,High Discount,105758
Dine-in,Wallet,April,Tuesday,12,No Discount,106172
Delivery,Credit Card,April,Tuesday,18,Medium Discount,106919
Takeaway,Credit Card,April,Tuesday,11,High Discount,106924
Takeaway,Credit Card,April,Tuesday,10,Low Discount,106979
Dine-in,UPI,April,Tuesday,18,Low Discount,107053
Takeaway,Wallet,April,Tuesday,15,Low Discount,107376
Takeaway,Cash,April,Tuesday,13,Medium Discount,107875
Dine-in,Wallet,April,Tuesday,14,No Discount,107993
Delivery,UPI,April,Tuesday,16,High Discount,108316
Takeaway,Wallet,April,Tuesday,16,High Discount,108385
Takeaway,UPI,April,Tuesday,22,Medium Discount,108621
Delivery,Wallet,April,Tuesday,10,Low Discount,109623
Delivery,Cash,April,Tuesday,11,Medium Discount,109945
Takeaway,UPI,April,Tuesday,13,No Discount,110329
Takeaway,Credit Card,April,Tuesday,11,No Discount,111073
Takeaway,Wallet,April,Tuesday,10,Medium Discount,111145
Dine-in,Cash,April,Tuesday,12,Low Discount,111825
Dine-in,Wallet,April,Tuesday,11,High Discount,112787
Takeaway,Wallet,April,Tuesday,22,Medium Discount,113594
Dine-in,Wallet,April,Tuesday,18,No Discount,114009
Dine-in,UPI,April,Tuesday,19,No Discount,114093
Takeaway,Wallet,April,Tuesday,14,High Discount,114256
Dine-in,Debit Card,April,Tuesday,22,No Discount,114783
Takeaway,Cash,April,Tuesday,15,No Discount,115685
Takeaway,Credit Card,April,Tuesday,19,Low Discount,116162
Delivery,Cash,April,Tuesday,14,High Discount,116180
Delivery,Credit Card,April,Tuesday,22,No Discount,116356
Delivery,Credit Card,April,Tuesday,22,Low Discount,116426
Dine-in,Credit Card,April,Tuesday,16,Medium Discount,116557
Delivery,Wallet,April,Tuesday,11,Medium Discount,117143
Dine-in,Wallet,April,Tuesday,21,Low Discount,117216
Dine-in,Wallet,April,Tuesday,10,Medium Discount,117289
Dine-in,Cash,April,Tuesday,15,No Discount,117452
Dine-in,Cash,April,Tuesday,22,Medium Discount,117465
Takeaway,Debit Card,April,Tuesday,20,High Discount,118168
Takeaway,Wallet,April,Tuesday,20,High Discount,118232
Delivery,Credit Card,April,Tuesday,10,High Discount,118560
Dine-in,Debit Card,April,Tuesday,15,Medium Discount,119308
Takeaway,Wallet,April,Tuesday,13,Medium Discount,119521
Delivery,Wallet,April,Tuesday,15,No Discount,119547
Delivery,UPI,April,Tuesday,18,Medium Discount,119712
Dine-in,Cash,April,Tuesday,22,No Discount,119802
Takeaway,Credit Card,April,Tuesday,14,No Discount,120195
Dine-in,UPI,April,Tuesday,10,High Discount,120471
Takeaway,Wallet,April,Tuesday,12,Medium Discount,121891
Takeaway,Cash,April,Tuesday,15,No Discount,122070
Delivery,Credit Card,April,Tuesday,16,Low Discount,122117
Dine-in,Debit Card,April,Tuesday,13,Medium Discount,122488
Delivery,Credit Card,April,Tuesday,22,Medium Discount,122599
